unit ID,Capacity（MW）,utilization hour (h),coal consumption (g coal/KWh),power consumption rate (%)
78,680,4599.82,270.13,5.09
79,300,2403.5,316.45,7.56
80,300,3728.14,316.99,7.56
81,300,4920.15,313.67,7.56
82,300,4236.28,314.21,7.56
83,350,4499.16,298.94,3.86
84,350,4544.72,299.88,3.86
85,680,4592.09,285.87,3.86
86,680,4242.23,280.94,3.86
87,330,5002.85,300.79,5.21
88,330,5302.4,302.87,5.21
89,330,4375.39,314.96,6.15
90,330,4630.51,311.2,6.15
91,350,4525.72,281.46,3.52
92,350,4012.45,271.69,3.52
93,670,5515.03,287.72,3.86
94,670,3664.37,295.42,3.86
95,600,5658.83,310.05,4.74
96,600,3207.39,310.1,4.74
97,600,4621.07,292.7,4.74
98,600,4543.67,293,4.74
99,650,4582.6,282.31,4.07
100,650,4426.67,284.6,4.07
101,670,4303.04,273.4,3.45
102,670,5622.75,268.89,3.45
103,660,4412.12,288.66,5.02
104,1050,5185.39,288.55,3.8
105,1050,5185.39,288.55,4.24
106,1050,4968.95,288.26,3.8
107,1050,4968.95,288.26,4.24
108,1000,4899.13,268.74,3.8
109,1000,4899.13,268.74,4.24
110,1000,5769.09,264.44,3.8
111,1000,5769.09,264.44,4.24
112,1010,4573,273.13,4
113,1010,6294.72,272.8,4
114,1000,5172.85,270.57,3.08
115,60,3318,63,0
116,12,3799,271,0
117,49,3724,141,6.33
118,24,3810,409,21.02
119,96,9258,274,9.26
120,85,4553,325,6.29
121,12,1796,285,6.26
122,12,497,124,4.36
123,12,497,124,1.14
124,6,1301,149,4.36
125,6,1301,149,1.14
126,24,3160,468,31.98
127,330,1777,356,8.48
128,39,3317,277,13.44
129,60,7692,249,7.09
130,60,7692,249,15
131,60,7692,249,12.18
132,285,4521,320,7.09
133,285,4521,320,15
134,285,4521,320,12.18
135,110,1880,253,11.93
136,125,3282,214,8.31
137,50,2553,150,17.17
138,33,2669,315,6.83
139,27,931,277,7.65
140,42,4243,226,24.87
141,6,389,271,7.01
142,120,2957,255,0
143,120,2957,255,12.64
144,18,4650,326,17.11
145,12,6059,355,18.58
146,52,413,286,4.17
147,6,970,311,2.16
148,47,2468,118,9.24
149,30,3531,74,3.61
150,30,3531,74,8.72
151,30,3531,74,4.07
152,30,6260,231,3.61
153,30,6260,231,8.72
154,30,6260,231,4.07
155,15,1776,256,3.61
156,15,1776,256,8.72
157,15,1776,256,4.07
158,18,2674,252,3.61
159,18,2674,252,2.08
160,37,1583,254,3.61
161,37,1583,254,2.08
162,300,5242,336,10.39
163,158,3260,275,5.3
164,200,5419,386,12.97
165,48,857,446,14.64
166,300,5498,344,8.7
167,180,4328,414,10.21
168,114,848,525,26.56
169,270,4851,418,7.86
170,24,2134,514,24.94
171,61,3264,617,37.55
172,24,8335,394,0
173,24,8335,394,3.33
174,36,1523,406,14.2
175,15,2950,327,3.92
176,74,6468,604,36.18
177,42,6626,348,3.59
178,10.5,3409,228,3.73
179,60,2651,617,20.31
180,250,3237,295,9.25
181,12,5207,348,17.43
182,27,3277,276,9.89
183,33,1131,236,3.53
184,48,420,314,9.68
185,37,2978,289,11.1
186,37,2978,289,9.84
187,6,7352,292,11.1
188,6,7352,292,9.84
189,15,513,172,17.29
190,43.5,2526,137,6.06
191,43.5,2526,137,25.33
192,43.5,2526,137,16.15
193,36,2796,158,6.06
194,36,2796,158,25.33
195,36,2796,158,16.15
196,12,934,226,6.06
197,12,934,226,25.33
198,12,934,226,16.15
199,24,4666,273,5.33
200,7,6684,363,6
201,6,2730,345,9.71
202,12,329,300,0
203,12,329,300,16.03
204,24,5876,408,11.83
205,21,1478,417,6.27
206,21,1478,417,6.39
207,6,1629,416,6.27
208,6,1629,416,6.39
209,60,3840,325,8.95
210,270,5168,271,10.32
211,79,2465,505,5.02
212,60,2547,413,12.88
213,30,3198,553,20
214,45,4861,444,9.92
215,30,1068,209,8.79
216,45,3466,369,14.96
217,300,4295,268,14.12
218,25,1055,329,8.87
219,25,1055,329,8.51
220,25,1055,329,8.69
221,150,4055,405,8.87
222,150,4055,405,8.51
223,150,4055,405,8.69
224,50,63,328,8.87
225,50,63,328,8.51
226,50,63,328,8.69
227,30,1287,371,19.2
228,30,4237,293,9.42
229,30,2086,287,8.85
230,48,4912,250,10.5
231,15,4402,306,9.57
232,15,4402,306,5.03
233,50,2762,234,9.57
234,50,2762,234,5.03
235,30,6640,466,11.05
236,30,6640,466,0
237,42,4871,207,16
238,15,3408,407,9.19
239,25,6486,73,5.33
240,98,1457,161,3.99
241,48,2290,245,7.26
242,74,2840,291,5.26
243,60,5800,266,10.41
244,12,8327,145,1.96
245,30,3900,130,3.77
246,171,3583,347,6.24
247,171,3583,347,10.6
248,350,1265,392,6.24
249,350,1265,392,10.6
250,350,1265,392,6.24
251,350,1265,392,10.6
252,318,4508,170,18.76
253,318,4508,170,10
254,310,481,224,18.76
255,310,481,224,10
256,211,5242,290,6.67
257,45,2085,259,13.05
258,51,4313,286,4.79
259,15,3374,395,38.82
260,15,3374,395,6.34
261,15,3374,395,5.22
262,350,4538,300,38.82
263,350,4538,300,6.34
264,350,4538,300,5.22
265,350,4538,300,38.82
266,350,4538,300,6.34
267,350,4538,300,5.22
268,350,5662,302,38.82
269,350,5662,302,6.34
270,350,5662,302,5.22
271,350,5662,302,38.82
272,350,5662,302,6.34
273,350,5662,302,5.22
274,39,1498,224,17
275,60,5847,320,6.18
276,42,2386,270,2.08
277,92.5,5343,351,10.4
278,6,8121,304,5.14
279,30,3163,349,5.94
280,27,2986,212,4.3
281,18,4539,310,9.02
282,69,1844,290,8.52
283,75,4521,327,13.55
284,12,1556,386,13.06
285,21,1836,167,6.33
286,18,601,378,7.53
287,12,1508,308,7.89
288,42,3462,154,5.97
289,21,2482,237,8.84
290,27,2082,275,7.99
291,120,5981,323,16.13
292,12,3311,473,49.88
293,18,2372,246,2.55
294,6,2052,323,21.24
295,30,1289,374,8.11
296,24,1895,271,6.71
297,36,1631,212,3.88
298,30,2675,297,9.08
299,30,3488,251,5.84
300,27,3564,342,10.19
301,24,3690,212,9.23
302,37,3027,313,8.97
303,6,4156,300,17.27
304,24,1174,246,9.01
305,6,4669,96,1.96
306,15,1353,259,46.86
307,15,1353,259,12.17
308,15,3252,271,46.86
309,15,3252,271,12.17
310,178,5133,410,6.76
311,30,1617,316,13.96
312,30,5673,276,5.74
313,30,3033,389,8.77
314,300,3174,367,9.7
315,35,2475,143,5.2
316,37.5,3017,192,5.49
317,12,4299,504,35.67
318,109,3039,202,6.19
319,42,1092,189,5.4
320,329,3637,255,7.5
321,50,5400,192,4.72
322,35,3726,169,6.48
323,35,3726,169,5.45
324,49,3799,187,6.48
325,49,3799,187,5.45
326,6,4711,647,16.59
327,15,2632,299,7.25
328,18,2853,363,3.28
329,60,2638,259,0
330,60,2638,259,7.43
331,60,2638,259,4.92
332,80,8093,267,0
333,80,8093,267,7.43
334,80,8093,267,4.92
335,60,3621,354,20
336,12,3511,238,5.61
337,6,646,296,13.47
338,18,3258,374,12.94
339,37,3107,177,5.75
340,30,9647,276,13.11
341,308,5900,262,5.22
342,310,5468,277,6.24
343,110,2871,453,8
344,16,3335,331,9.64
345,24,3242,260,4.4
346,6,1858,255,7.2
347,6,1858,255,6.54
348,39,3758,227,7.2
349,39,3758,227,6.54
350,20,1100,360,6
351,48,243,339,7.76
352,24,2817,224,14.17
353,21,1647,358,6.12
354,24,719,258,16.51
355,55,4445,270,14.91
356,49,7834,260,4.52
357,12,972,281,9.25
358,60,4777,234,6.58
359,39,3424,355,5.52
360,300,5417,251,10.5
361,56,5284,379,17.53
362,60,2491,447,7.69
363,42,4984,255,0
364,24,2248,243,4.25
365,48,1141,430,9.42
366,48,1141,430,5.69
367,350,3616,297,9.42
368,350,3616,297,5.69
369,73,5010,324,3.94
370,73,5010,324,3.07
371,24,3296,271,3.94
372,24,3296,271,3.07
373,24,5255,360,2.13
374,65,3144,333,1.74
375,24,5457,233,22.49
376,110,4190,335,8.96
377,69,4134,267,6.18
378,68,7466,278,7.62
379,75,5506,347,9.36
380,36,1744,378,13.69
381,68,4759,343,9.21
382,25,3384,408,11.73
383,18,6572,338,7.59
384,75,4970,316,9.88
385,395,6217,334,9.04
386,152,5113,302,10.56
387,50,3106,423,14.63
388,108,5898,339,10.56
389,48,4250,296,10.52
390,200,1674,293,8.97
391,12,395,315,15.1
392,50,4316,363,9.89
393,21,3784,319,8.09
394,6,383,239,4.46
395,6,1606,360,25.25
396,15,2172,257,29.16
397,24,3178,267,11.57
398,90,398,428,57.75
399,360,778,191,6.59
400,30,2133,504,8.78
401,15,8614,714,8.1
402,15,8614,714,17.6
403,12,1800,424,8.1
404,12,1800,424,17.6
405,60,4542,178,7.65
406,11,1620,300,15.29
407,12,4461,336,3.75
408,30,7112,126,5.73
409,43,1528,308,10.39
410,12,362,305,1.21
411,12,3654,295,6.83
412,24,5441,298,9.17
413,25,6037,171,21.75
414,90,7577,129,2.77
415,20,5135,334,10.26
416,55,2493,352,15.22
417,9,4627,308,24.61
418,24,5250,264,8.99
419,9,5994,409,23.55
420,10,5437,664,10
421,69,2149,169,4.27
422,79,2151,353,7.96
423,40,2911,183,5.3
424,6,2360,288,9.69
425,20,607,404,3.33
426,15,5687,252,37.97
427,30,3268,183,13.88
428,30,5822,226,23.3
429,12,6298,337,7.94
430,15,3716,138,22.1
431,18,5085,263,10.06
432,75,7770,188,8.54
433,75,4649,206,4.09
434,30,5644,418,20.5
435,12,5041,265,4.37
436,6,3137,291,25.91
437,12,4507,290,6.91
438,80,2045,195,33.58
439,50,5665,229,0
440,40,2805,248,8.57
441,48,1362,394,18.73
442,262,5244,217,6.12
443,100,1177,486,25.3
444,75,4493,272,15.32
445,660,5395,289,5.38
446,660,5395,289,5.38
447,660,5395,289,5.38
448,660,5395,289,5.38
449,660,5395,289,5.38
450,660,5395,289,5.38
451,660,5395,289,5.38
452,660,5395,289,5.38
453,330,5395,289,5.38
454,330,5395,289,5.38
455,330,5395,289,5.38
456,330,5395,289,5.38
457,330,5395,289,5.38
458,330,5395,289,5.38
459,330,5395,289,5.38
460,330,5395,289,5.38
461,330,5395,289,5.38
462,330,5395,289,5.38
463,330,5395,289,5.38
464,330,5395,289,5.38
465,330,5395,289,5.38
466,330,5395,289,5.38
467,330,5395,289,5.38
468,330,5395,289,5.38
469,330,5395,289,5.38
470,330,5395,289,5.38
471,330,5395,289,5.38
472,330,5395,289,5.38
473,330,5395,289,5.38
474,330,5395,289,5.38
475,330,5395,289,5.38
476,330,5395,289,5.38
477,330,5395,289,5.38
478,330,5395,289,5.38
479,330,5395,289,5.38
480,330,5395,289,5.38
481,330,5395,289,5.38
482,330,5395,289,5.38
483,330,5395,289,5.38
484,330,5395,289,5.38
485,330,5395,289,5.38
486,330,5395,289,5.38
487,330,5395,289,5.38
488,330,3914,320,7.24
489,330,3914,320,7.24
490,220,3172,310,7.52
491,220,3172,310,6.88
492,220,3172,310,7.52
493,220,3172,310,6.88
494,300,6201,313,7.52
495,300,6201,313,6.88
496,300,6201,313,7.52
497,300,6201,313,6.88
498,600,4849,305,4.89
499,600,4849,305,4.89
500,660,5901,262,6
501,660,5901,262,6
502,660,5901,262,6
503,660,5901,262,6
504,660,5901,262,6
505,660,5901,262,6
506,700,5901,262,6
507,700,5901,262,6
508,700,5901,262,6
509,1000,5384,289,6.15
510,1000,5384,289,6.15
511,350,1654,347,5.9
512,350,1654,347,5.9
513,145,3826,267,9.09
514,145,3826,267,9.09
515,145,3826,267,9.09
516,145,3826,267,9.09
517,220,4431,313,5.92
518,220,4431,313,5.92
519,135,3617,314,6.41
520,135,3617,314,6.41
521,135,3617,314,6.41
522,135,3617,314,6.41
523,330,3617,314,6.41
524,330,3617,314,6.41
525,600,4433,318,4.98
526,600,4433,318,4.98
527,140,3910,275,5.06
528,140,3910,275,5.06
529,330,3910,275,5.06
530,330,3910,275,5.06
531,350,4522,314,4.59
532,350,4522,314,4.59
533,300,6262,318,5.43
534,300,6262,318,5.43
535,150,7232,279,9.25
536,150,7232,279,9.25
537,220,7232,279,9.25
538,220,7232,279,9.25
539,330,7232,279,9.25
540,330,7232,279,9.25
541,330,7232,279,9.25
542,350,3855,319,7.79
543,350,3855,319,7.79
544,330,4548,280,6.44
545,330,4548,280,6.44
546,350,4961,257,4.77
547,350,4961,257,4.77
548,350,2610,313,3.4
549,350,2610,313,3.4
